row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,0.654049,1.923312,1.0,1.0,0.531737,0.468263,0.531737,0.468263,1.0,sinusoidal,3001,multi_needle
20,0.841241,2.319244,0.6,0.7875,0.45661,0.54339,0.480568,0.308255,1.5,sinusoidal,3001,aggregation
20,0.692198,1.998103,0.85,0.925,0.519642,0.480358,0.524813,0.325187,1.15,sinusoidal,3011,passkey_exact
20,0.650848,1.917166,1.0,1.0,0.533354,0.466646,0.533354,0.466646,1.0,sinusoidal,3011,multi_needle
20,0.84296,2.323233,0.6,0.7875,0.455995,0.544005,0.4808,0.309458,1.5,sinusoidal,3011,aggregation
20,0.690602,1.994915,0.85,0.925,0.520527,0.479473,0.525827,0.324173,1.15,sinusoidal,3019,passkey_exact
20,0.646308,1.908482,1.0,1.0,0.535764,0.464236,0.535764,0.464236,1.0,sinusoidal,3019,multi_needle
20,0.843142,2.323656,0.6,0.7875,0.456133,0.543867,0.481646,0.310103,1.5,sinusoidal,3019,aggregation
20,0.695614,2.00494,0.85,0.925,0.518184,0.481816,0.521935,0.328065,1.15,sinusoidal,3023,passkey_exact
20,0.690114,1.993943,1.0,1.0,0.513517,0.486483,0.513517,0.486483,1.0,sinusoidal,3023,multi_needle
20,0.830443,2.294335,0.6,0.7875,0.459926,0.540074,0.475929,0.299843,1.5,sinusoidal,3023,aggregation
20,0.692104,1.997914,0.85,0.925,0.519873,0.480127,0.524448,0.325552,1.15,sinusoidal,3037,passkey_exact
20,0.665535,1.945531,1.0,1.0,0.525909,0.474091,0.525909,0.474091,1.0,sinusoidal,3037,multi_needle
20,0.83644,2.308136,0.6,0.7875,0.458229,0.541771,0.479289,0.305114,1.5,sinusoidal,3037,aggregation
20,1.145292,3.143358,0.5,0.729167,0.353865,0.646135,0.424135,0.217916,1.65,phasewrap_bias,3001,passkey_exact
20,0.844298,2.326345,0.85,0.925,0.445074,0.554926,0.446786,0.431615,1.15,phasewrap_bias,3001,multi_needle
20,1.200613,3.322153,0.5,0.725,0.310956,0.689044,0.368431,0.298544,1.65,phasewrap_bias,3001,aggregation
20,1.142772,3.135448,0.5,0.729167,0.354298,0.645702,0.423041,0.217644,1.65,phasewrap_bias,3011,passkey_exact
20,0.852197,2.344792,0.85,0.925,0.441648,0.558352,0.443265,0.406735,1.15,phasewrap_bias,3011,multi_needle
20,1.196371,3.308091,0.5,0.725,0.31206,0.68794,0.367707,0.298283,1.65,phasewrap_bias,3011,aggregation
20,1.15819,3.184164,0.5,0.729167,0.348176,0.651824,0.415568,0.222502,1.65,phasewrap_bias,3019,passkey_exact
20,0.861029,2.365593,0.85,0.925,0.437526,0.562474,0.439276,0.410724,1.15,phasewrap_bias,3019,multi_needle
20,1.212306,3.361228,0.5,0.725,0.306704,0.693296,0.361749,0.221105,1.65,phasewrap_bias,3019,aggregation
20,1.140118,3.127137,0.5,0.729167,0.356266,0.643734,0.427019,0.216222,1.65,phasewrap_bias,3023,passkey_exact
20,0.839271,2.314679,0.85,0.925,0.447351,0.552649,0.44909,0.429338,1.15,phasewrap_bias,3023,multi_needle
20,1.19819,3.314115,0.5,0.725,0.311841,0.688159,0.370228,0.298462,1.65,phasewrap_bias,3023,aggregation
20,1.138695,3.12269,0.5,0.729167,0.356629,0.643371,0.427612,0.215968,1.65,phasewrap_bias,3037,passkey_exact
