method,run_count,row_count,parameter_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_probability_mean,mean_target_probability_ci_low,mean_target_probability_ci_high,target_probability_mae_mean,target_probability_mae_ci_low,target_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_rank_mean,mean_first_relevant_rank_ci_low,mean_first_relevant_rank_ci_high
no_position,5,60,4,3.341712,3.341674,3.341741,0.05,0.05,0.05,0.118035,0.118035,0.118035,0.037198,0.037197,0.037199,0.962802,0.962801,0.962803,0.028101,0.0281,0.028102,0.021899,0.021898,0.0219,21.016667,21.016667,21.016667
alibi,5,60,4,3.306938,3.306915,3.306967,0.0,0.0,0.0,0.153196,0.153196,0.153196,0.03788,0.037879,0.037881,0.96212,0.962119,0.962121,0.034974,0.034972,0.034976,0.034974,0.034972,0.034976,13.9,13.9,13.9
rope_relative,5,60,4,0.202472,0.202455,0.202485,1.0,1.0,1.0,1.0,1.0,1.0,0.821104,0.821092,0.821119,0.178896,0.178881,0.178908,0.816599,0.816588,0.816614,0.183401,0.183386,0.183412,1.0,1.0,1.0
sinusoidal,5,60,4,1.040719,1.040692,1.040749,0.666667,0.666667,0.666667,0.825,0.825,0.825,0.364518,0.364505,0.364528,0.635482,0.635471,0.635493,0.361863,0.361851,0.361873,0.308748,0.308739,0.308756,1.383333,1.383333,1.383333
phasewrap_bias,5,60,4,3.172774,3.172727,3.172821,0.016667,0.016667,0.016667,0.08086,0.08086,0.08086,0.043663,0.043661,0.043664,0.956337,0.956336,0.956339,0.055182,0.055178,0.055185,0.038515,0.038511,0.038518,16.766667,16.766667,16.766667
phasewrap_distance_adapter,5,60,4,3.344605,3.344542,3.344648,0.0,0.0,0.0,0.050557,0.050557,0.050557,0.036772,0.036771,0.036774,0.963228,0.963226,0.963229,0.03767,0.037668,0.037673,0.03767,0.037668,0.037673,21.15,21.15,21.15
