row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,1.050725,2.859722,0.8,0.9,0.362306,0.637694,0.35434,0.44566,1.2,sinusoidal,3121,aggregation
20,0.999132,2.715922,0.75,0.858333,0.379013,0.620987,0.379013,0.389485,1.35,sinusoidal,3137,passkey_exact
20,1.072294,2.922076,0.45,0.716667,0.352239,0.647761,0.352239,0.256061,1.6,sinusoidal,3137,multi_needle
20,1.050642,2.859486,0.8,0.9,0.362338,0.637662,0.354371,0.445629,1.2,sinusoidal,3137,aggregation
20,0.999167,2.716017,0.75,0.858333,0.378998,0.621002,0.378998,0.389499,1.35,sinusoidal,3163,passkey_exact
20,1.072323,2.922158,0.45,0.716667,0.352227,0.647773,0.352227,0.25607,1.6,sinusoidal,3163,multi_needle
20,1.050676,2.859583,0.8,0.9,0.362325,0.637675,0.35436,0.44564,1.2,sinusoidal,3163,aggregation
20,3.266549,26.220689,0.0,0.062774,0.03831,0.96169,0.057408,0.057408,16.55,phasewrap_bias,3101,passkey_exact
20,3.331854,27.990182,0.0,0.056055,0.035863,0.964137,0.055189,0.055189,18.25,phasewrap_bias,3101,multi_needle
20,2.91974,18.536464,0.05,0.123753,0.056823,0.943177,0.052959,0.002959,15.5,phasewrap_bias,3101,aggregation
20,3.266686,26.224299,0.0,0.062774,0.038304,0.961696,0.057398,0.057398,16.55,phasewrap_bias,3119,passkey_exact
20,3.331983,27.993805,0.0,0.056055,0.035859,0.964141,0.05518,0.05518,18.25,phasewrap_bias,3119,multi_needle
20,2.919858,18.538649,0.05,0.123753,0.056816,0.943184,0.05295,0.00295,15.5,phasewrap_bias,3119,aggregation
20,3.266575,26.221381,0.0,0.062774,0.038309,0.961691,0.057407,0.057407,16.55,phasewrap_bias,3121,passkey_exact
20,3.331878,27.990856,0.0,0.056055,0.035863,0.964137,0.055189,0.055189,18.25,phasewrap_bias,3121,multi_needle
20,2.919769,18.537004,0.05,0.123753,0.056821,0.943179,0.052959,0.002959,15.5,phasewrap_bias,3121,aggregation
20,3.266682,26.22419,0.0,0.062774,0.038304,0.961696,0.0574,0.0574,16.55,phasewrap_bias,3137,passkey_exact
20,3.331979,27.993678,0.0,0.056055,0.035859,0.964141,0.055182,0.055182,18.25,phasewrap_bias,3137,multi_needle
20,2.919859,18.538681,0.05,0.123753,0.056816,0.943184,0.052952,0.002952,15.5,phasewrap_bias,3137,aggregation
20,3.266567,26.221166,0.0,0.062774,0.038309,0.961691,0.057407,0.057407,16.55,phasewrap_bias,3163,passkey_exact
20,3.331871,27.990655,0.0,0.056055,0.035863,0.964137,0.055188,0.055188,18.25,phasewrap_bias,3163,multi_needle
20,2.919757,18.536785,0.05,0.123753,0.056822,0.943178,0.052958,0.002958,15.5,phasewrap_bias,3163,aggregation
20,3.47443,32.279429,0.0,0.050415,0.031007,0.968993,0.039281,0.039281,20.2,phasewrap_distance_adapter,3101,passkey_exact
20,3.585773,36.081229,0.0,0.044666,0.027731,0.972269,0.037445,0.037445,22.7,phasewrap_distance_adapter,3101,multi_needle
20,2.973715,19.564463,0.0,0.05659,0.051574,0.948426,0.036281,0.036281,20.55,phasewrap_distance_adapter,3101,aggregation
20,3.474399,32.278437,0.0,0.050415,0.031008,0.968992,0.039283,0.039283,20.2,phasewrap_distance_adapter,3119,passkey_exact
20,3.585744,36.080177,0.0,0.044666,0.027732,0.972268,0.037446,0.037446,22.7,phasewrap_distance_adapter,3119,multi_needle
20,2.973688,19.563931,0.0,0.05659,0.051575,0.948425,0.036282,0.036282,20.55,phasewrap_distance_adapter,3119,aggregation
20,3.474467,32.280609,0.0,0.050415,0.031006,0.968994,0.03928,0.03928,20.2,phasewrap_distance_adapter,3121,passkey_exact
20,3.585807,36.082479,0.0,0.044666,0.02773,0.97227,0.037443,0.037443,22.7,phasewrap_distance_adapter,3121,multi_needle
20,2.973747,19.565087,0.0,0.05659,0.051572,0.948428,0.036279,0.036279,20.55,phasewrap_distance_adapter,3121,aggregation
20,3.474279,32.274542,0.0,0.050415,0.031012,0.968988,0.039288,0.039288,20.2,phasewrap_distance_adapter,3137,passkey_exact
20,3.585631,36.076117,0.0,0.044666,0.027735,0.972265,0.037451,0.037451,22.7,phasewrap_distance_adapter,3137,multi_needle
20,2.973581,19.561841,0.0,0.05659,0.051581,0.948419,0.036286,0.036286,20.55,phasewrap_distance_adapter,3137,aggregation
20,3.474394,32.278273,0.0,0.050415,0.031008,0.968992,0.039283,0.039283,20.2,phasewrap_distance_adapter,3163,passkey_exact
20,3.585739,36.080023,0.0,0.044666,0.027732,0.972268,0.037446,0.037446,22.7,phasewrap_distance_adapter,3163,multi_needle
20,2.973683,19.563843,0.0,0.05659,0.051576,0.948424,0.036282,0.036282,20.55,phasewrap_distance_adapter,3163,aggregation
