method,run_count,row_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_probability_mean,mean_target_probability_ci_low,mean_target_probability_ci_high,mean_first_relevant_rank_mean,mean_first_relevant_rank_ci_low,mean_first_relevant_rank_ci_high
no_position,5,20,1.14664,1.146339,1.146912,0.0,0.0,0.0,0.325,0.325,0.325,0.319258,0.319171,0.319347,3.1,3.1,3.1
alibi,5,20,0.238982,0.238636,0.239454,0.95,0.95,0.95,0.975,0.975,0.975,0.821886,0.821352,0.822377,1.05,1.05,1.05
rope_relative,5,20,3.163907,3.036544,3.262321,0.32,0.3,0.34,0.541381,0.523445,0.555278,0.316363,0.310725,0.321122,2.87,2.68,3.07
sinusoidal,5,20,0.413135,0.398177,0.428352,0.81,0.78,0.84,0.905,0.885,0.92,0.719015,0.711393,0.727595,1.19,1.16,1.23
phasewrap_score,5,20,1.123251,1.121761,1.125327,0.3,0.3,0.3,0.61,0.608333,0.613333,0.328851,0.328114,0.329386,1.94,1.92,1.95
phasewrap_residual_adapter,5,20,0.276933,0.264226,0.289608,0.92,0.9,0.94,0.96,0.95,0.97,0.801163,0.798055,0.805325,1.08,1.06,1.1
phasewrap_distance_adapter,5,20,0.241043,0.233625,0.250702,0.95,0.95,0.95,0.975,0.975,0.975,0.823006,0.817715,0.827141,1.05,1.05,1.05
