provider,window_id,job_count,command_authorized,live_submit_command_available,command_source_artifact
ibm_runtime,ibm_runtime__independent_window_00,164,True,True,logs/automated_stage_gates/stage133_authorized_runner_command_packet/results.json
ibm_runtime,ibm_runtime__independent_window_01,164,True,True,logs/automated_stage_gates/stage133_authorized_runner_command_packet/results.json
