seed,noise_model_id,noise_family,circuit_template,phasewrap_mean_absolute_score_error,best_positional_comparator_mean_absolute_score_error,no_position_control_mean_absolute_score_error,positional_margin_shot_quanta,control_margin_shot_quanta,stable_strict_target
314,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.006669496348,0.004913590362,0.0,-7.192191,-27.318257,False
577,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.007057944178,0.005207497172,0.0,-7.579431,-28.909339,False
1618,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.005157686325,0.005084939871,0.0,-0.297969,-21.125883,False
2718,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.00384059709,0.003556912822,0.0,-1.161971,-15.731086,False
314,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.003838990977,0.003290248644,0.0,-2.247649,-15.724507,False
577,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.003807822108,0.003453284776,0.0,-1.452185,-15.596839,False
1618,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.021095491501,0.022023431412,0.0,3.800842,-86.407133,False
2718,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.020228536543,0.017263496121,0.0,-12.144806,-82.856086,False
314,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.019669984629,0.014518998077,0.0,-21.098441,-80.568257,False
577,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.020737448572,0.01525540977,0.0,-22.454431,-84.940589,False
1618,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.015526033493,0.015262552176,0.0,-1.079219,-63.594633,False
2718,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.011668355879,0.01059121458,0.0,-4.411971,-47.793586,False
314,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.011559938242,0.00978286339,0.0,-7.278899,-47.349507,False
577,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.011513510584,0.010441810166,0.0,-4.389685,-47.159339,False
1618,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005645742222,0.005467455955,0.010009765625,-0.730261,17.87504,False
2718,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005553019044,0.005030967853,0.010009765625,-2.138322,18.254834,False
314,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005663268146,0.005683073442,0.010009765625,0.081122,17.803254,False
577,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005227212483,0.005785474669,0.010009765625,2.286642,19.589338,True
