method,run_count,row_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_probability_mean,mean_target_probability_ci_low,mean_target_probability_ci_high,mean_first_relevant_rank_mean,mean_first_relevant_rank_ci_low,mean_first_relevant_rank_ci_high
no_position,5,60,3.323466,3.323466,3.323466,0.05,0.05,0.05,0.118035,0.118035,0.118035,0.037879,0.037879,0.037879,21.016667,21.016667,21.016667
alibi,5,60,3.319255,3.317773,3.320566,0.0,0.0,0.0,0.153196,0.153196,0.153196,0.037945,0.037924,0.037971,13.9,13.9,13.9
rope_relative,5,60,0.364667,0.359992,0.368427,1.0,1.0,1.0,1.0,1.0,1.0,0.704867,0.702404,0.70766,1.0,1.0,1.0
sinusoidal,5,60,0.799825,0.794229,0.804938,0.666667,0.666667,0.666667,0.825,0.825,0.825,0.467632,0.464628,0.470339,1.383333,1.383333,1.383333
phasewrap_score,5,60,3.127791,3.122278,3.133642,0.016667,0.016667,0.016667,0.08086,0.08086,0.08086,0.045641,0.045399,0.045916,16.766667,16.766667,16.766667
phasewrap_residual_adapter,5,60,1.18498,1.171206,1.195936,0.45,0.45,0.45,0.673611,0.673611,0.673611,0.322028,0.318329,0.326425,1.9,1.9,1.9
phasewrap_distance_adapter,5,60,0.677274,0.661033,0.692196,1.0,1.0,1.0,1.0,1.0,1.0,0.518441,0.510515,0.526175,1.0,1.0,1.0
