variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.028264,0.201438,0.525499
witness,123,0.021769,0.484793,0.863588
witness,777,0.022425,0.220149,1.084683
control,42,0.026601,-0.106780,-0.179041
control,123,0.023127,0.323806,0.582843
control,777,0.024643,-0.167481,-0.011593
mean_witness,,0.024153,0.302127,0.824590
mean_control,,0.024790,0.016515,0.130736
