run_id,variant,seed,mae,rank_correlation,calibration_slope
symbolic-insuff-cdab-witness-s42,V_future_relational_witness_symbolic_insufficiency,42,0.122176,0.944118,1.178624
symbolic-insuff-cdab-witness-s123,V_future_relational_witness_symbolic_insufficiency,123,0.196546,0.979412,1.045867
symbolic-insuff-cdab-witness-s777,V_future_relational_witness_symbolic_insufficiency,777,0.249390,0.947059,0.996590
symbolic-insuff-cdab-control-s42,V_control_symbolic_symbolic_insufficiency_regressor,42,0.314475,-0.005931,-0.132899
symbolic-insuff-cdab-control-s123,V_control_symbolic_symbolic_insufficiency_regressor,123,0.258314,0.135895,0.160724
symbolic-insuff-cdab-control-s777,V_control_symbolic_symbolic_insufficiency_regressor,777,0.217131,0.482303,0.478979
