variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.018252,0.471210,0.719247
witness,123,0.018775,0.178645,0.589354
witness,777,0.010582,0.202628,0.280680
control,42,0.029754,-0.263944,-0.313973
control,123,0.021458,-0.383917,-0.440180
control,777,0.010696,0.018936,0.130037
mean_witness,,0.015870,0.284161,0.529760
mean_control,,0.020636,-0.209642,-0.208039
