model,seed,mae,rank_correlation,calibration_slope
witness,42,0.043566,0.255882,0.516209
witness,123,0.054240,0.196021,0.184395
witness,777,0.069027,0.391176,0.390729
control,42,0.068885,-0.173529,-0.256118
control,123,0.100599,-0.175387,0.082124
control,777,0.083916,0.279412,0.372032
witness_mean,mean,0.055611,0.281026,0.363778
control_mean,mean,0.084467,-0.023168,0.066013
