noise_model_id,provider_family,seed,comparison_group_count,stable_target_count,stable_template_count,min_positional_margin_shot_quanta,min_control_margin_shot_quanta,reopen_candidate
ibm_backend_median_stochastic,braket,2718,2,0,0,-1.37758,-12.319313,False
ibm_backend_median_stochastic,ibm,314,2,0,0,-0.153737,-45.62437,False
ibm_backend_median_stochastic,ibm,577,2,0,0,-20.853357,-54.419675,False
ibm_backend_p75_stochastic,braket,2718,2,0,0,-2.56508,-24.381813,False
ibm_backend_p75_stochastic,ibm,314,2,0,0,-0.466237,-90.87437,False
ibm_backend_p75_stochastic,ibm,577,2,0,0,-41.790857,-108.669675,False
