provider,window_id,ready,job_count,total_shots,result_stub_count,provider_results_record_count,blockers
ibm_runtime,ibm_runtime__independent_window_00,True,164,659360,164,0,
ibm_runtime,ibm_runtime__independent_window_01,True,164,659360,164,0,
