provider,cutover_authorized,first_blocker,action_count,runner_command_count,authorized_runner_command_count,prepared_job_count,ready_for_live_runner_execution
amazon_braket,False,stage106:backend_selection_missing,6,2,0,168,False
ibm_runtime,False,stage106:ibm_instance_crn_missing,5,2,0,328,False
